country,year,ic,idhh,ndi,aw,aw_eur,pov60,forex,euro
BE,2009,Minimum wage,Single,1225.89,3054,3054,973.16998,1,Euro
BE,2009,Minimum wage,Couple,1477.23,3054,3054,1459.755,1,Euro
BE,2009,Minimum wage,"Couple, 2 children",1841.89,3054,3054,2238.291,1,Euro
BE,2009,Minimum wage,"Lone parent, 2 children",1745.12,3054,3054,1751.7061,1,Euro
BE,2009,Social assistance,Single,724.96002,3054,3054,973.16998,1,Euro
BE,2009,Social assistance,Couple,966.06,3054,3054,1459.755,1,Euro
BE,2009,Social assistance,"Couple, 2 children",1421.64,3054,3054,2238.291,1,Euro
BE,2009,Social assistance,"Lone parent, 2 children",1422.47,3054,3054,1751.7061,1,Euro
BE,2009,Old-age,Single,892.15997,3054,3054,973.16998,1,Euro
BE,2009,Old-age,Couple,1188.98,3054,3054,1459.755,1,Euro
BG,2009,Minimum wage,Single,187.92,761,389,295,1.9558001,Non-euro
BG,2009,Minimum wage,Couple,210.92999,761,389,442.5,1.9558001,Non-euro
BG,2009,Minimum wage,"Couple, 2 children",293.42999,761,389,678.5,1.9558001,Non-euro
BG,2009,Minimum wage,"Lone parent, 2 children",293.42999,761,389,531,1.9558001,Non-euro
BG,2009,Social assistance,Single,70.459999,761,389,295,1.9558001,Non-euro
BG,2009,Social assistance,Couple,108.81,761,389,442.5,1.9558001,Non-euro
BG,2009,Social assistance,"Couple, 2 children",227.11,761,389,678.5,1.9558001,Non-euro
BG,2009,Social assistance,"Lone parent, 2 children",206.31,761,389,531,1.9558001,Non-euro
BG,2009,Old-age,Single,119.81,761,389,295,1.9558001,Non-euro
BG,2009,Old-age,Couple,216.61,761,389,442.5,1.9558001,Non-euro
CZ,2009,Minimum wage,Single,9501,22245,845,9329.4199,26.326,Non-euro
CZ,2009,Minimum wage,"Lone parent, 2 children",16610,22245,845,16792.955,26.326,Non-euro
CZ,2009,Social assistance,Single,7090,22245,845,9329.4199,26.326,Non-euro
CZ,2009,Social assistance,Couple,10591,22245,845,13994.13,26.326,Non-euro
CZ,2009,Social assistance,"Couple, 2 children",14593,22245,845,21457.666,26.326,Non-euro
CZ,2009,Social assistance,"Lone parent, 2 children",12694,22245,845,16792.955,26.326,Non-euro
CZ,2009,Old-age,Single,6537,22245,845,9329.4199,26.326,Non-euro
CZ,2009,Old-age,Couple,9871,22245,845,13994.13,26.326,Non-euro
DE,2009,Social assistance,Single,730,2876,2876,939.83002,1,Euro
DE,2009,Social assistance,Couple,1130.8,2876,2876,1409.745,1,Euro
DE,2009,Social assistance,"Couple, 2 children",1632.8,2876,2876,2161.6089,1,Euro
DE,2009,Social assistance,"Lone parent, 2 children",1405.24,2876,2876,1691.694,1,Euro
DE,2009,Old-age,Single,730,2876,2876,939.83002,1,Euro
DE,2009,Old-age,Couple,1130.8,2876,2876,1409.745,1,Euro
DK,2009,Social assistance,Single,7572.4502,25447,3421,9556.3301,7.4386001,Non-euro
DK,2009,Social assistance,Couple,14740.05,25447,3421,14334.495,7.4386001,Non-euro
DK,2009,Social assistance,"Couple, 2 children",20714.32,25447,3421,21979.559,7.4386001,Non-euro
DK,2009,Old-age,Single,10771.42,25447,3421,9556.3301,7.4386001,Non-euro
DK,2009,Old-age,Couple,15824.55,25447,3421,14334.495,7.4386001,Non-euro
EE,2009,Minimum wage,Single,245.44,849,849,286.32999,1,Euro
EE,2009,Minimum wage,Couple,272.45999,849,849,429.495,1,Euro
EE,2009,Minimum wage,"Couple, 2 children",321.32999,849,849,658.55902,1,Euro
EE,2009,Minimum wage,"Lone parent, 2 children",310.79999,849,849,515.39398,1,Euro
EE,2009,Social assistance,Single,140.92999,849,849,286.32999,1,Euro
EE,2009,Social assistance,Couple,192.05,849,849,429.495,1,Euro
EE,2009,Social assistance,"Couple, 2 children",294.31,849,849,658.55902,1,Euro
EE,2009,Social assistance,"Lone parent, 2 children",255.97,849,849,515.39398,1,Euro
EE,2009,Old-age,Single,140.92999,849,849,286.32999,1,Euro
EE,2009,Old-age,Couple,192.05,849,849,429.495,1,Euro
EL,2009,Minimum wage,Single,724.77002,1814,1814,598.16998,1,Euro
EL,2009,Minimum wage,Couple,797.25,1814,1814,897.255,1,Euro
EL,2009,Minimum wage,"Couple, 2 children",797.25,1814,1814,1375.791,1,Euro
EL,2009,Minimum wage,"Lone parent, 2 children",724.77002,1814,1814,1076.7061,1,Euro
EL,2009,Old-age,Single,397.5,1814,1814,598.16998,1,Euro
EL,2009,Old-age,Couple,795,1814,1814,897.255,1,Euro
ES,2009,Minimum wage,Single,674.06,1959,1959,730.25,1,Euro
ES,2009,Minimum wage,Couple,674.06,1959,1959,1095.375,1,Euro
ES,2009,Minimum wage,"Couple, 2 children",722.56,1959,1959,1679.575,1,Euro
ES,2009,Minimum wage,"Lone parent, 2 children",726.01001,1959,1959,1314.45,1,Euro
ES,2009,Social assistance,Single,410.01999,1959,1959,730.25,1,Euro
ES,2009,Social assistance,Couple,463.51999,1959,1959,1095.375,1,Euro
ES,2009,Social assistance,"Couple, 2 children",699.26001,1959,1959,1679.575,1,Euro
ES,2009,Social assistance,"Lone parent, 2 children",726.01001,1959,1959,1314.45,1,Euro
ES,2009,Old-age,Single,525.90002,1959,1959,730.25,1,Euro
ES,2009,Old-age,Couple,934.08002,1959,1959,1095.375,1,Euro
FR,2009,Minimum wage,Single,1131.17,2401,2401,998,1,Euro
FR,2009,Minimum wage,Couple,1382.77,2401,2401,1497,1,Euro
FR,2009,Minimum wage,"Couple, 2 children",1817.76,2401,2401,2295.3999,1,Euro
FR,2009,Minimum wage,"Lone parent, 2 children",1687.77,2401,2401,1796.4,1,Euro
FR,2009,Social assistance,Single,663.31,2401,2401,998,1,Euro
FR,2009,Social assistance,Couple,887.41998,2401,2401,1497,1,Euro
FR,2009,Social assistance,"Couple, 2 children",1285.11,2401,2401,2295.3999,1,Euro
FR,2009,Social assistance,"Lone parent, 2 children",1155.13,2401,2401,1796.4,1,Euro
FR,2009,Old-age,Single,937.88,2401,2401,998,1,Euro
FR,2009,Old-age,Couple,1462.02,2401,2401,1497,1,Euro
HU,2009,Minimum wage,Single,57815,180876,585,59440.922,309.19,Non-euro
HU,2009,Minimum wage,Couple,62165.66,180876,585,89161.383,309.19,Non-euro
HU,2009,Minimum wage,"Couple, 2 children",91884.43,180876,585,136714.11,309.19,Non-euro
HU,2009,Minimum wage,"Lone parent, 2 children",93551.18,180876,585,106993.66,309.19,Non-euro
HU,2009,Social assistance,Single,33225,180876,585,59440.922,309.19,Non-euro
HU,2009,Social assistance,Couple,63075,180876,585,89161.383,309.19,Non-euro
HU,2009,Social assistance,"Couple, 2 children",92555.703,180876,585,136714.11,309.19,Non-euro
HU,2009,Social assistance,"Lone parent, 2 children",68985,180876,585,106993.66,309.19,Non-euro
HU,2009,Old-age,Single,31800,180876,585,59440.922,309.19,Non-euro
HU,2009,Old-age,Couple,51675,180876,585,89161.383,309.19,Non-euro
IE,2009,Minimum wage,Single,1340.4,3461,3461,1025.58,1,Euro
IE,2009,Minimum wage,Couple,1340.4,3461,3461,1538.37,1,Euro
IE,2009,Minimum wage,"Couple, 2 children",2404.52,3461,3461,2358.834,1,Euro
IE,2009,Minimum wage,"Lone parent, 2 children",1881.03,3461,3461,1846.0439,1,Euro
IE,2009,Social assistance,Single,886.65997,3461,3461,1025.58,1,Euro
IE,2009,Social assistance,Couple,1475.16,3461,3461,1538.37,1,Euro
IE,2009,Social assistance,"Couple, 2 children",2032.84,3461,3461,2358.834,1,Euro
IE,2009,Social assistance,"Lone parent, 2 children",1444.34,3461,3461,1846.0439,1,Euro
IE,2009,Old-age,Single,983.88,3461,3461,1025.58,1,Euro
IE,2009,Old-age,Couple,1900.92,3461,3461,1538.37,1,Euro
IT,2009,Old-age,Single,456.70999,2121,2121,798.16998,1,Euro
IT,2009,Old-age,Couple,952.62,2121,2121,1197.255,1,Euro
LT,2009,Minimum wage,Single,196.50999,641,641,201.5,1,Euro
LT,2009,Minimum wage,Couple,196.50999,641,641,302.25,1,Euro
LT,2009,Minimum wage,"Couple, 2 children",239.66,641,641,463.45001,1,Euro
LT,2009,Minimum wage,"Lone parent, 2 children",324.76999,641,641,362.70001,1,Euro
LT,2009,Social assistance,Single,91.230003,641,641,201.5,1,Euro
LT,2009,Social assistance,Couple,182.46001,641,641,302.25,1,Euro
LT,2009,Social assistance,"Couple, 2 children",395.04001,641,641,463.45001,1,Euro
LT,2009,Social assistance,"Lone parent, 2 children",303.81,641,641,362.70001,1,Euro
LU,2009,Minimum wage,Single,1602.98,4364,4364,1616.67,1,Euro
LU,2009,Minimum wage,Couple,2407.8301,4364,4364,2425.0049,1,Euro
LU,2009,Minimum wage,"Couple, 2 children",3402.55,4364,4364,3718.3411,1,Euro
LU,2009,Minimum wage,"Lone parent, 2 children",2740.26,4364,4364,2910.0061,1,Euro
LU,2009,Social assistance,Single,1356.0601,4364,4364,1616.67,1,Euro
LU,2009,Social assistance,Couple,1986.53,4364,4364,2425.0049,1,Euro
LU,2009,Social assistance,"Couple, 2 children",2932.6699,4364,4364,3718.3411,1,Euro
LU,2009,Social assistance,"Lone parent, 2 children",2406.3701,4364,4364,2910.0061,1,Euro
LU,2009,Old-age,Single,1384.27,4364,4364,1616.67,1,Euro
LU,2009,Old-age,Couple,1986.53,4364,4364,2425.0049,1,Euro
LV,2009,Minimum wage,Single,208.67999,709,709,224.42,1,Euro
LV,2009,Minimum wage,Couple,229.27,709,709,336.63,1,Euro
LV,2009,Minimum wage,"Couple, 2 children",292.37,709,709,516.16602,1,Euro
LV,2009,Minimum wage,"Lone parent, 2 children",272.78,709,709,403.95599,1,Euro
LV,2009,Social assistance,Single,84.440002,709,709,224.42,1,Euro
LV,2009,Social assistance,Couple,136.88,709,709,336.63,1,Euro
LV,2009,Social assistance,"Couple, 2 children",244.41,709,709,516.16602,1,Euro
LV,2009,Social assistance,"Lone parent, 2 children",233.34,709,709,403.95599,1,Euro
LV,2009,Old-age,Single,97.589996,709,709,224.42,1,Euro
LV,2009,Old-age,Couple,163.17999,709,709,336.63,1,Euro
NL,2009,Minimum wage,Single,1382.42,2989,2989,1014.58,1,Euro
NL,2009,Minimum wage,Couple,1566.6801,2989,2989,1521.87,1,Euro
NL,2009,Minimum wage,"Couple, 2 children",1870.38,2989,2989,2333.5339,1,Euro
NL,2009,Minimum wage,"Lone parent, 2 children",1993.23,2989,2989,1826.244,1,Euro
NL,2009,Social assistance,Single,1046.42,2989,2989,1014.58,1,Euro
NL,2009,Social assistance,Couple,1455.3199,2989,2989,1521.87,1,Euro
NL,2009,Social assistance,"Couple, 2 children",1759.01,2989,2989,2333.5339,1,Euro
NL,2009,Social assistance,"Lone parent, 2 children",1658.9301,2989,2989,1826.244,1,Euro
NL,2009,Old-age,Single,1165.25,2989,2989,1014.58,1,Euro
NL,2009,Old-age,Couple,1601.33,2989,2989,1521.87,1,Euro
PL,2009,Minimum wage,Single,1110.79,2908,683,953.25,4.257,Non-euro
PL,2009,Minimum wage,Couple,1268.3199,2908,683,1429.875,4.257,Non-euro
PL,2009,Minimum wage,"Couple, 2 children",1396.98,2908,683,2192.4751,4.257,Non-euro
PL,2009,Minimum wage,"Lone parent, 2 children",1666.1899,2908,683,1715.85,4.257,Non-euro
PL,2009,Social assistance,Single,390.39999,2908,683,953.25,4.257,Non-euro
PL,2009,Social assistance,Couple,536.84998,2908,683,1429.875,4.257,Non-euro
PL,2009,Social assistance,"Couple, 2 children",948.59003,2908,683,2192.4751,4.257,Non-euro
PL,2009,Social assistance,"Lone parent, 2 children",919.53998,2908,683,1715.85,4.257,Non-euro
PL,2009,Old-age,Single,477,2908,683,953.25,4.257,Non-euro
PL,2009,Old-age,Couple,702,2908,683,1429.875,4.257,Non-euro
PT,2009,Minimum wage,Single,467.25,1273,1273,433.92001,1,Euro
PT,2009,Minimum wage,Couple,627.79999,1273,1273,650.88,1,Euro
PT,2009,Minimum wage,"Couple, 2 children",968.71002,1273,1273,998.01599,1,Euro
PT,2009,Minimum wage,"Lone parent, 2 children",782.59003,1273,1273,781.05603,1,Euro
PT,2009,Social assistance,Single,294.04999,1273,1273,433.92001,1,Euro
PT,2009,Social assistance,Couple,522.79999,1273,1273,650.88,1,Euro
PT,2009,Social assistance,"Couple, 2 children",863.71002,1273,1273,998.01599,1,Euro
PT,2009,Social assistance,"Lone parent, 2 children",677.59003,1273,1273,781.05603,1,Euro
PT,2009,Old-age,Single,413.32999,1273,1273,433.92001,1,Euro
PT,2009,Old-age,Couple,723.34003,1273,1273,650.88,1,Euro
RO,2009,Minimum wage,Single,460.84,1480,324,431.67001,4.5688,Non-euro
RO,2009,Minimum wage,Couple,476.84,1480,324,647.505,4.5688,Non-euro
RO,2009,Minimum wage,"Couple, 2 children",645,1480,324,992.841,4.5688,Non-euro
RO,2009,Minimum wage,"Lone parent, 2 children",656.84003,1480,324,777.00598,4.5688,Non-euro
RO,2009,Social assistance,Single,108,1480,324,431.67001,4.5688,Non-euro
RO,2009,Social assistance,Couple,196,1480,324,647.505,4.5688,Non-euro
RO,2009,Social assistance,"Couple, 2 children",414,1480,324,992.841,4.5688,Non-euro
RO,2009,Social assistance,"Lone parent, 2 children",352,1480,324,777.00598,4.5688,Non-euro
RO,2009,Old-age,Single,300,1480,324,431.67001,4.5688,Non-euro
RO,2009,Old-age,Couple,600,1480,324,647.505,4.5688,Non-euro
SE,2009,Social assistance,Single,7973,23953,2486,10033.67,9.6351004,Non-euro
SE,2009,Social assistance,Couple,11530,23953,2486,15050.505,9.6351004,Non-euro
SE,2009,Social assistance,"Couple, 2 children",17383,23953,2486,23077.441,9.6351004,Non-euro
SE,2009,Social assistance,"Lone parent, 2 children",14486,23953,2486,18060.605,9.6351004,Non-euro
SI,2009,Minimum wage,Single,453.72,1367,1367,586.83002,1,Euro
SI,2009,Minimum wage,Couple,561.07001,1367,1367,880.245,1,Euro
SI,2009,Minimum wage,"Couple, 2 children",885.78003,1367,1367,1349.709,1,Euro
SI,2009,Social assistance,Single,291.95001,1367,1367,586.83002,1,Euro
SI,2009,Social assistance,Couple,478.98001,1367,1367,880.245,1,Euro
SI,2009,Social assistance,"Couple, 2 children",885.78003,1367,1367,1349.709,1,Euro
SK,2009,Minimum wage,Single,269.95999,697,697,305.82999,1,Euro
SK,2009,Minimum wage,Couple,393.81,697,697,458.745,1,Euro
SK,2009,Minimum wage,"Couple, 2 children",560.60999,697,697,703.409,1,Euro
SK,2009,Minimum wage,"Lone parent, 2 children",455.04001,697,697,550.49402,1,Euro
SK,2009,Social assistance,Single,175.69,697,697,305.82999,1,Euro
SK,2009,Social assistance,Couple,315.04001,697,697,458.745,1,Euro
SK,2009,Social assistance,"Couple, 2 children",443.20001,697,697,703.409,1,Euro
SK,2009,Social assistance,"Lone parent, 2 children",337.63,697,697,550.49402,1,Euro
SK,2009,Old-age,Single,175.69,697,697,305.82999,1,Euro
